restaurant_id,name,neighborhood,cuisines,vibe,special_title,special_cadence,event_title,event_timing,source_url,contact_email,image_url,image_alt,image_source_url,image_source_type,image_rights_basis,image_permission_confirmed,image_attribution,image_review_state
osm-node-6299280970-alexandra-s-pizza,Alexandra's Pizza,Dartmouth,,,,,,,,,,Alexandra's Pizza restaurant photo,,owner_submission,owner_attestation,,Alexandra's Pizza,needs_review
osm-node-4797021954-alexandras-pizza,Alexandras pizza,South End,,,,,,,,,,Alexandras pizza restaurant photo,,owner_submission,owner_attestation,,Alexandras pizza,needs_review
osm-node-2624375974-alter-egos,Alter Egos,North End,,,,,,,,,,Alter Egos restaurant photo,,owner_submission,owner_attestation,,Alter Egos,needs_review
osm-node-3796325157-angelique-french-bakery-and-cafe,Angelique French Bakery & Cafe,Halifax Peninsula,,,,,,,,,,Angelique French Bakery & Cafe restaurant photo,,owner_submission,owner_attestation,,Angelique French Bakery & Cafe,needs_review
osm-node-6152777540-annie-s-place-cafe-and-catering,Annie's Place Café & Catering,Downtown,,,,,,,,,,Annie's Place Café & Catering restaurant photo,,owner_submission,owner_attestation,,Annie's Place Café & Catering,needs_review
osm-node-30899821-arirang,Arirang,Armdale / Fairview,,,,,,,,,,Arirang restaurant photo,,owner_submission,owner_attestation,,Arirang,needs_review
osm-node-9652937830-arirang-korean-and-japanese,Arirang Korean & Japanese,Armdale / Fairview,,,,,,,https://arirang-restaurant.com/,,,Arirang Korean & Japanese restaurant photo,,owner_submission,owner_attestation,,Arirang Korean & Japanese,needs_review
osm-node-2718816606-as-you-like-it,As You Like It,Armdale / Fairview,,,,,,,,,,As You Like It restaurant photo,,owner_submission,owner_attestation,,As You Like It,needs_review
osm-node-37132635-asap-mabuhay,ASAP Mabuhay,Downtown,,,,,,,,,,ASAP Mabuhay restaurant photo,,owner_submission,owner_attestation,,ASAP Mabuhay,needs_review
osm-node-12986790096-au-liban,Au Liban,Downtown,,,,,,,,,,Au Liban restaurant photo,,owner_submission,owner_attestation,,Au Liban,needs_review
osm-node-5863968672-baan-thai,Baan Thai,Downtown,,,,,,,,,,Baan Thai restaurant photo,,owner_submission,owner_attestation,,Baan Thai,needs_review
osm-node-3533780877-baba-s-pizzeria,Baba's Pizzeria,South End,,,,,,,,,,Baba's Pizzeria restaurant photo,,owner_submission,owner_attestation,,Baba's Pizzeria,needs_review
osm-node-4474954245-bai-wei-grill-bar,Bai Wei Grill Bar,South End,,,,,,,http://baiweigrillbar.com,,,Bai Wei Grill Bar restaurant photo,,owner_submission,owner_attestation,,Bai Wei Grill Bar,needs_review
osm-node-11577572437-banh-mi-a-and-b,Banh Mi A&B,Halifax Peninsula,,,,,,,,,,Banh Mi A&B restaurant photo,,owner_submission,owner_attestation,,Banh Mi A&B,needs_review
osm-way-372779849-bearly-s-house-of-blues,Bearly's House of Blues,Downtown,,,,,,,,,,Bearly's House of Blues restaurant photo,,owner_submission,owner_attestation,,Bearly's House of Blues,needs_review
osm-node-11698520839-bells-lane-kitchen-at-purdy-s-wharf,Bells Lane Kitchen at Purdy's Wharf,Downtown,,,,,,,,,,Bells Lane Kitchen at Purdy's Wharf restaurant photo,,owner_submission,owner_attestation,,Bells Lane Kitchen at Purdy's Wharf,needs_review
osm-node-11526163886-bento-sushi,Bento Sushi,South End,,,,,,,,,,Bento Sushi restaurant photo,,owner_submission,owner_attestation,,Bento Sushi,needs_review
osm-node-2714920433-best-choice-chinese-food,Best Choice Chinese Food,West End,,,,,,,,,,Best Choice Chinese Food restaurant photo,,owner_submission,owner_attestation,,Best Choice Chinese Food,needs_review
osm-node-8187610240-bi-one,Bi One,South End,,,,,,,,,,Bi One restaurant photo,,owner_submission,owner_attestation,,Bi One,needs_review
osm-node-9074868976-big-al-s-pizza,Big Al's Pizza,North End,,,,,,,,,,Big Al's Pizza restaurant photo,,owner_submission,owner_attestation,,Big Al's Pizza,needs_review
osm-node-5017275565-blooming-cafe,Blooming cafe,South End,,,,,,,,,,Blooming cafe restaurant photo,,owner_submission,owner_attestation,,Blooming cafe,needs_review
osm-node-8142485078-blue-elephant-thai-restaurant,Blue Elephant Thai Restaurant,Armdale / Fairview,,,,,,,,,,Blue Elephant Thai Restaurant restaurant photo,,owner_submission,owner_attestation,,Blue Elephant Thai Restaurant,needs_review
osm-node-11577593719-blue-olive-greek-tavern,Blue Olive Greek Tavern,Halifax Peninsula,,,,,,,,,,Blue Olive Greek Tavern restaurant photo,,owner_submission,owner_attestation,,Blue Olive Greek Tavern,needs_review
osm-node-886758495-boneheads-bbq,Boneheads BBQ,South End,,,,,,,,,,Boneheads BBQ restaurant photo,,owner_submission,owner_attestation,,Boneheads BBQ,needs_review
osm-node-4401772591-boomburger,boomburger,Armdale / Fairview,,,,,,,,,,boomburger restaurant photo,,owner_submission,owner_attestation,,boomburger,needs_review
osm-node-2716971771-booster-juice,Booster Juice,Armdale / Fairview,,,,,,,,,,Booster Juice restaurant photo,,owner_submission,owner_attestation,,Booster Juice,needs_review
osm-node-7139174643-booster-juice,Booster Juice,North End,,,,,,,,,,Booster Juice restaurant photo,,owner_submission,owner_attestation,,Booster Juice,needs_review
osm-node-12007395292-booster-juice,Booster Juice,Dartmouth,,,,,,,,,,Booster Juice restaurant photo,,owner_submission,owner_attestation,,Booster Juice,needs_review
osm-node-1139389219-boston-pizza,Boston Pizza,Downtown,,,,,,,,,,Boston Pizza restaurant photo,,owner_submission,owner_attestation,,Boston Pizza,needs_review
osm-way-171149704-boston-pizza,Boston Pizza,Armdale / Fairview,,,,,,,,,,Boston Pizza restaurant photo,,owner_submission,owner_attestation,,Boston Pizza,needs_review
osm-node-13889594821-bourbon-st-grill,Bourbon St Grill,Dartmouth,,,,,,,,,,Bourbon St Grill restaurant photo,,owner_submission,owner_attestation,,Bourbon St Grill,needs_review
osm-node-11577527761-bravado,Bravado,Downtown,,,,,,,,,,Bravado restaurant photo,,owner_submission,owner_attestation,,Bravado,needs_review
osm-node-13073337403-brawta-jamaican-jerk-hut,Brawta Jamaican Jerk Hut,Downtown,,,,,,,,,,Brawta Jamaican Jerk Hut restaurant photo,,owner_submission,owner_attestation,,Brawta Jamaican Jerk Hut,needs_review
osm-node-4420899697-brenton-grill-and-wine-bar,Brenton Grill & Wine bar,South End,,,,,,,,,,Brenton Grill & Wine bar restaurant photo,,owner_submission,owner_attestation,,Brenton Grill & Wine bar,needs_review
osm-node-815496300-brewdebaker-s,Brewdebaker's,Armdale / Fairview,,,,,,,,,,Brewdebaker's restaurant photo,,owner_submission,owner_attestation,,Brewdebaker's,needs_review
osm-node-11734614941-broth-house,Broth House,Downtown,,,,,,,,,,Broth House restaurant photo,,owner_submission,owner_attestation,,Broth House,needs_review
osm-node-2721726004-bubba-ray-s-sports-bar,Bubba Ray's Sports Bar,Downtown,,,,,,,,,,Bubba Ray's Sports Bar restaurant photo,,owner_submission,owner_attestation,,Bubba Ray's Sports Bar,needs_review
osm-node-3789619357-bubba-ray-s-sports-bar,Bubba Ray's Sports Bar,Downtown,,,,,,,,,,Bubba Ray's Sports Bar restaurant photo,,owner_submission,owner_attestation,,Bubba Ray's Sports Bar,needs_review
osm-node-9330955319-budapest-bisztro,Budapest Bisztro,Armdale / Fairview,,,,,,,https://budapestbisztro.ca/,,,Budapest Bisztro restaurant photo,,owner_submission,owner_attestation,,Budapest Bisztro,needs_review
osm-node-620090343-burger-king,Burger King,North End,,,,,,,,,,Burger King restaurant photo,,owner_submission,owner_attestation,,Burger King,needs_review
osm-node-1920486474-burger-king,Burger King,North End,,,,,,,,,,Burger King restaurant photo,,owner_submission,owner_attestation,,Burger King,needs_review
osm-way-171149719-burger-king,Burger King,Armdale / Fairview,,,,,,,,,,Burger King restaurant photo,,owner_submission,owner_attestation,,Burger King,needs_review
osm-way-240110431-burger-king,Burger King,Dartmouth,,,,,,,,,,Burger King restaurant photo,,owner_submission,owner_attestation,,Burger King,needs_review
osm-node-1785456866-burrito-jax,Burrito Jax,Downtown,,,,,,,,,,Burrito Jax restaurant photo,,owner_submission,owner_attestation,,Burrito Jax,needs_review
osm-node-11532103797-burrito-jax,Burrito Jax,North End,,,,,,,,,,Burrito Jax restaurant photo,,owner_submission,owner_attestation,,Burrito Jax,needs_review
osm-node-6031036960-buta-ramen,Buta Ramen,South End,,,,,,,,,,Buta Ramen restaurant photo,,owner_submission,owner_attestation,,Buta Ramen,needs_review
osm-node-4952843922-byblos-lebanese-restaurant,Byblos Lebanese Restaurant,Dartmouth,,,,,,,,,,Byblos Lebanese Restaurant restaurant photo,,owner_submission,owner_attestation,,Byblos Lebanese Restaurant,needs_review
osm-node-13104234102-byron,Byron,North End,,,,,,,,,,Byron restaurant photo,,owner_submission,owner_attestation,,Byron,needs_review
osm-node-3791528457-cabin-coffee,Cabin Coffee,Waterfront,,,,,,,https://cabincoffeehalifax.com/,,,Cabin Coffee restaurant photo,,owner_submission,owner_attestation,,Cabin Coffee,needs_review
osm-node-5150636926-cafe-98,Cafe 98,Dartmouth,,,,,,,,,,Cafe 98 restaurant photo,,owner_submission,owner_attestation,,Cafe 98,needs_review
osm-node-3790838157-cafe-aroma-latino,Cafe Aroma Latino,North End,,,,,,,,,,Cafe Aroma Latino restaurant photo,,owner_submission,owner_attestation,,Cafe Aroma Latino,needs_review
osm-node-475880058-cafe-chianti,Cafe Chianti,South End,,,,,,,,,,Cafe Chianti restaurant photo,,owner_submission,owner_attestation,,Cafe Chianti,needs_review
osm-node-12838650881-cafe-du-port,Café du Port,Downtown,,,,,,,,,,Café du Port restaurant photo,,owner_submission,owner_attestation,,Café du Port,needs_review
osm-node-9089629991-cafe-lara,Café Lara,North End,,,,,,,https://cafelara.ca,,,Café Lara restaurant photo,,owner_submission,owner_attestation,,Café Lara,needs_review
osm-node-12824690512-cafe-lara,Café Lara,West End,,,,,,,,,,Café Lara restaurant photo,,owner_submission,owner_attestation,,Café Lara,needs_review
osm-node-12984675528-cafe-lunette,Café Lunette,Downtown,,,,,,,,,,Café Lunette restaurant photo,,owner_submission,owner_attestation,,Café Lunette,needs_review
osm-node-4421124794-cafe-marco-polo,Cafe Marco Polo,Dartmouth,,,,,,,https://justuscoffee.com/locations/kings-wharf-dartmouth,,,Cafe Marco Polo restaurant photo,,owner_submission,owner_attestation,,Cafe Marco Polo,needs_review
osm-node-475876899-cafe-ristretto,Cafe Ristretto,Waterfront,,,,,,,,,,Cafe Ristretto restaurant photo,,owner_submission,owner_attestation,,Cafe Ristretto,needs_review
osm-node-5647941370-cafe-tayaiki-52,Café Tayaiki 52,North End,,,,,,,,,,Café Tayaiki 52 restaurant photo,,owner_submission,owner_attestation,,Café Tayaiki 52,needs_review
osm-node-13073317016-caffe-lucca,Caffe Lucca,Downtown,,,,,,,,,,Caffe Lucca restaurant photo,,owner_submission,owner_attestation,,Caffe Lucca,needs_review
osm-node-2714920437-captain-sub,Captain Sub,West End,,,,,,,,,,Captain Sub restaurant photo,,owner_submission,owner_attestation,,Captain Sub,needs_review
osm-node-3800103657-celtic-corner-public-house,Celtic Corner Public House,Dartmouth,,,,,,,,,,Celtic Corner Public House restaurant photo,,owner_submission,owner_attestation,,Celtic Corner Public House,needs_review
osm-node-7196212747-cempoal-de-la-calavera-negra,Cempoal de la Calavera Negra,North End,,,,,,,,,,Cempoal de la Calavera Negra restaurant photo,,owner_submission,owner_attestation,,Cempoal de la Calavera Negra,needs_review
osm-node-2721708515-cha-baa-thai,Cha Baa Thai,Downtown,,,,,,,https://www.chabaathairestaurant.ca/,,,Cha Baa Thai restaurant photo,,owner_submission,owner_attestation,,Cha Baa Thai,needs_review
osm-node-11609580961-cha-baa-thai,Cha Baa Thai,West End,,,,,,,,,,Cha Baa Thai restaurant photo,,owner_submission,owner_attestation,,Cha Baa Thai,needs_review
osm-node-5134046822-chain-yard-urban-cidery,Chain Yard Urban Cidery,North End,,,,,,,http://://www.chainyardcider.com,,,Chain Yard Urban Cidery restaurant photo,,owner_submission,owner_attestation,,Chain Yard Urban Cidery,needs_review
osm-node-5160893922-chatime,Chatime,Downtown,,,,,,,,,,Chatime restaurant photo,,owner_submission,owner_attestation,,Chatime,needs_review
osm-way-1268243127-chatime,Chatime,West End,,,,,,,,,,Chatime restaurant photo,,owner_submission,owner_attestation,,Chatime,needs_review
osm-node-773014548-cheelin-chinese-food,Cheelin Chinese Food,Downtown,,,,,,,,,,Cheelin Chinese Food restaurant photo,,owner_submission,owner_attestation,,Cheelin Chinese Food,needs_review
osm-node-1139389526-cheers-live-country-bar,Cheers Live Country Bar,Downtown,,,,,,,,,,Cheers Live Country Bar restaurant photo,,owner_submission,owner_attestation,,Cheers Live Country Bar,needs_review
osm-node-11726000908-chef-abod,Chef Abod,West End,,,,,,,,,,Chef Abod restaurant photo,,owner_submission,owner_attestation,,Chef Abod,needs_review
osm-node-3799399358-cherry-berry,Cherry Berry,Downtown,,,,,,,,,,Cherry Berry restaurant photo,,owner_submission,owner_attestation,,Cherry Berry,needs_review
osm-node-12938312911-churned,Churned,Halifax Peninsula,,,,,,,,,,Churned restaurant photo,,owner_submission,owner_attestation,,Churned,needs_review
osm-node-8066924821-cinnabon,Cinnabon,Dartmouth,,,,,,,,,,Cinnabon restaurant photo,,owner_submission,owner_attestation,,Cinnabon,needs_review
osm-node-12444860718-city-shawarma,City Shawarma,Armdale / Fairview,,,,,,,,,,City Shawarma restaurant photo,,owner_submission,owner_attestation,,City Shawarma,needs_review
osm-node-12908610736-classic-pizza,Classic Pizza,Downtown,,,,,,,https://classic-pizza.order-online.ai/,,,Classic Pizza restaurant photo,,owner_submission,owner_attestation,,Classic Pizza,needs_review
osm-node-7185511974-clay-west-bar-and-grill,Clay West Bar & Grill,Bayers Lake Business Park,,,,,,,https://claywesthalifax.business.site/,,,Clay West Bar & Grill restaurant photo,,owner_submission,owner_attestation,,Clay West Bar & Grill,needs_review
osm-node-13098723101-coastal-curry,Coastal Curry,Downtown,,,,,,,,,,Coastal Curry restaurant photo,,owner_submission,owner_attestation,,Coastal Curry,needs_review
osm-node-13958623779-coffee-street,Coffee Street,Halifax Peninsula,,,,,,,,,,Coffee Street restaurant photo,,owner_submission,owner_attestation,,Coffee Street,needs_review
osm-node-815416385-cora-s,Cora's,Armdale / Fairview,,,,,,,,,,Cora's restaurant photo,,owner_submission,owner_attestation,,Cora's,needs_review
osm-node-12718532662-costco-food-court,Costco Food Court,Armdale / Fairview,,,,,,,,,,Costco Food Court restaurant photo,,owner_submission,owner_attestation,,Costco Food Court,needs_review
osm-node-12718612064-costco-food-court,Costco Food Court,Halifax Peninsula,,,,,,,,,,Costco Food Court restaurant photo,,owner_submission,owner_attestation,,Costco Food Court,needs_review
osm-way-651356633-cosy-snack-bar,Cosy Snack Bar,North End,,,,,,,,,,Cosy Snack Bar restaurant photo,,owner_submission,owner_attestation,,Cosy Snack Bar,needs_review
osm-node-12496044778-cottage-cafe,Cottage Cafe,Dartmouth,,,,,,,,,,Cottage Cafe restaurant photo,,owner_submission,owner_attestation,,Cottage Cafe,needs_review
osm-node-1749780391-cousins-restaurant,Cousins Restaurant,West End,,,,,,,https://cousinsrestaurant.webs.com/,,,Cousins Restaurant restaurant photo,,owner_submission,owner_attestation,,Cousins Restaurant,needs_review
osm-node-3791471657-cow-s,Cow's,Downtown,,,,,,,,,,Cow's restaurant photo,,owner_submission,owner_attestation,,Cow's,needs_review
osm-node-11165031880-cow-s,Cow's,Waterfront,,,,,,,,,,Cow's restaurant photo,,owner_submission,owner_attestation,,Cow's,needs_review
osm-node-12893501701-cows-cable-wharf,COWS Cable Wharf,Downtown,,,,,,,,,,COWS Cable Wharf restaurant photo,,owner_submission,owner_attestation,,COWS Cable Wharf,needs_review
osm-node-7347265248-creamy-rainbow-bakery-and-cafe,Creamy Rainbow Bakery and Cafe,Downtown,,,,,,,,,,Creamy Rainbow Bakery and Cafe restaurant photo,,owner_submission,owner_attestation,,Creamy Rainbow Bakery and Cafe,needs_review
osm-node-5139886025-crepe-crepe-cafe,Crepe Crepe Cafe,South End,,,,,,,,,,Crepe Crepe Cafe restaurant photo,,owner_submission,owner_attestation,,Crepe Crepe Cafe,needs_review
osm-node-2721708504-curry-village,Curry Village,Downtown,,,,,,,https://www.curryvillage.ca/,,,Curry Village restaurant photo,,owner_submission,owner_attestation,,Curry Village,needs_review
osm-node-1689418194-da-zero-ristorante,Da Zero Ristorante,South End,,,,,,,,,,Da Zero Ristorante restaurant photo,,owner_submission,owner_attestation,,Da Zero Ristorante,needs_review
osm-node-12908626114-dairy-bar,Dairy Bar,Downtown,,,,,,,,,,Dairy Bar restaurant photo,,owner_submission,owner_attestation,,Dairy Bar,needs_review
osm-node-8066235509-dairy-queen,Dairy Queen,Dartmouth,,,,,,,,,,Dairy Queen restaurant photo,,owner_submission,owner_attestation,,Dairy Queen,needs_review
osm-way-224130096-dairy-queen,Dairy Queen,Dartmouth,,,,,,,,,,Dairy Queen restaurant photo,,owner_submission,owner_attestation,,Dairy Queen,needs_review
osm-way-366167050-dairy-queen,Dairy Queen,West End,,,,,,,,,,Dairy Queen restaurant photo,,owner_submission,owner_attestation,,Dairy Queen,needs_review
osm-node-9740295474-dave-s-lobster,Dave's Lobster,Downtown,,,,,,,,,,Dave's Lobster restaurant photo,,owner_submission,owner_attestation,,Dave's Lobster,needs_review
osm-node-12984674575-de-la-dori,de la dori,Downtown,,,,,,,,,,de la dori restaurant photo,,owner_submission,owner_attestation,,de la dori,needs_review
osm-node-5135537821-deedee-s-ice-cream,DeeDee's Ice Cream,North End,,,,,,,,,,DeeDee's Ice Cream restaurant photo,,owner_submission,owner_attestation,,DeeDee's Ice Cream,needs_review
osm-node-5863968654-dharma-sushi,Dharma sushi,Downtown,,,,,,,https://dharmasushi.ca,,,Dharma sushi restaurant photo,,owner_submission,owner_attestation,,Dharma sushi,needs_review
osm-node-11577871448-dodo-s,Dodo's,West End,,,,,,,,,,Dodo's restaurant photo,,owner_submission,owner_attestation,,Dodo's,needs_review
osm-node-2702737177-domino-s,Domino's,Armdale / Fairview,,,,,,,,,,Domino's restaurant photo,,owner_submission,owner_attestation,,Domino's,needs_review
osm-node-5018125657-domino-s,Domino's,North End,,,,,,,,,,Domino's restaurant photo,,owner_submission,owner_attestation,,Domino's,needs_review
osm-node-8600636444-domino-s,Domino's,Dartmouth,,,,,,,,,,Domino's restaurant photo,,owner_submission,owner_attestation,,Domino's,needs_review
osm-node-4417956503-dora-q-japanese-cuisine,Dora Q - Japanese Cuisine,Downtown,,,,,,,,,,Dora Q - Japanese Cuisine restaurant photo,,owner_submission,owner_attestation,,Dora Q - Japanese Cuisine,needs_review
osm-node-5863968655-east-of-grafton-tavern,East of Grafton Tavern,Downtown,,,,,,,,,,East of Grafton Tavern restaurant photo,,owner_submission,owner_attestation,,East of Grafton Tavern,needs_review
osm-way-173999392-east-side-mario-s,East Side Mario's,Bayers Lake Business Park,,,,,,,,,,East Side Mario's restaurant photo,,owner_submission,owner_attestation,,East Side Mario's,needs_review
osm-node-2721708503-efendy-turkish-and-mediterranean-grill,Efendy Turkish & Mediterranean Grill,Downtown,,,,,,,http://www.efendyrestaurant.com/,,,Efendy Turkish & Mediterranean Grill restaurant photo,,owner_submission,owner_attestation,,Efendy Turkish & Mediterranean Grill,needs_review
osm-node-11577557950-el-chino,El Chino,Downtown,,,,,,,,,,El Chino restaurant photo,,owner_submission,owner_attestation,,El Chino,needs_review
osm-node-9683698488-el-este-tacos,El Este Tacos,North End,,,,,,,,,,El Este Tacos restaurant photo,,owner_submission,owner_attestation,,El Este Tacos,needs_review
osm-node-3800916658-el-este-tacqueria,El Este Tacqueria,Downtown,,,,,,,,,,El Este Tacqueria restaurant photo,,owner_submission,owner_attestation,,El Este Tacqueria,needs_review
osm-node-5648048366-eliot-and-vine,Eliot & Vine,North End,,,,,,,,,,Eliot & Vine restaurant photo,,owner_submission,owner_attestation,,Eliot & Vine,needs_review
osm-node-3801495264-elle-s-bistro,Elle's Bistro,Downtown,,,,,,,,,,Elle's Bistro restaurant photo,,owner_submission,owner_attestation,,Elle's Bistro,needs_review
osm-node-5823814053-espresso-46,Espresso 46,North End,,,,,,,https://espresso46.com/,,,Espresso 46 restaurant photo,,owner_submission,owner_attestation,,Espresso 46,needs_review
osm-node-2721724519-estia,Estia,Downtown,,,,,,,,,,Estia restaurant photo,,owner_submission,owner_attestation,,Estia,needs_review
osm-node-5279902059-famous-curry-chicken,Famous Curry Chicken,North End,,,,,,,,,,Famous Curry Chicken restaurant photo,,owner_submission,owner_attestation,,Famous Curry Chicken,needs_review
field-guide,Field Guide,North End,,,,,,,https://fieldguidehfx.com,,,Field Guide restaurant photo,,owner_submission,owner_attestation,,Field Guide,needs_review
osm-node-13262827285-first-sight-coffee-and-bar,First Sight Coffee & Bar,Downtown,,,,,,,,,,First Sight Coffee & Bar restaurant photo,,owner_submission,owner_attestation,,First Sight Coffee & Bar,needs_review
osm-node-7674190035-five-guys,Five Guys,Downtown,,,,,,,,,,Five Guys restaurant photo,,owner_submission,owner_attestation,,Five Guys,needs_review
osm-node-11699350872-five-guys,Five Guys,Armdale / Fairview,,,,,,,,,,Five Guys restaurant photo,,owner_submission,owner_attestation,,Five Guys,needs_review
osm-node-13235716922-foody-jojo-waffle-and-sandwich,Foody Jojo Waffle & Sandwich,Halifax Peninsula,,,,,,,,,,Foody Jojo Waffle & Sandwich restaurant photo,,owner_submission,owner_attestation,,Foody Jojo Waffle & Sandwich,needs_review
osm-node-3800896161-fran-s-fish-n-chips,Fran's Fish n' Chips,Dartmouth,,,,,,,,,,Fran's Fish n' Chips restaurant photo,,owner_submission,owner_attestation,,Fran's Fish n' Chips,needs_review
osm-node-5157406524-freedom,Freedom,Downtown,,,,,,,,,,Freedom restaurant photo,,owner_submission,owner_attestation,,Freedom,needs_review
osm-node-33117714-freeman-s-lil-new-york,Freeman's Lil New York,Downtown,,,,,,,,,,Freeman's Lil New York restaurant photo,,owner_submission,owner_attestation,,Freeman's Lil New York,needs_review
osm-node-33078684-freshly-squeezed,Freshly Squeezed,Downtown,,,,,,,,,,Freshly Squeezed restaurant photo,,owner_submission,owner_attestation,,Freshly Squeezed,needs_review
osm-way-1268236935-freshly-squeezed,Freshly Squeezed,West End,,,,,,,,,,Freshly Squeezed restaurant photo,,owner_submission,owner_attestation,,Freshly Squeezed,needs_review
osm-node-13262680651-freshslice-pizza,Freshslice Pizza,Downtown,,,,,,,,,,Freshslice Pizza restaurant photo,,owner_submission,owner_attestation,,Freshslice Pizza,needs_review
osm-node-1570206711-fries-and-co,Fries & Co.,West End,,,,,,,http://www.facebook.com/pages/Fries-Co/339657883852,,,Fries & Co. restaurant photo,,owner_submission,owner_attestation,,Fries & Co.,needs_review
osm-node-5863968643-fujiyama,Fujiyama,Downtown,,,,,,,http://www.sushifujiyama.com/,,,Fujiyama restaurant photo,,owner_submission,owner_attestation,,Fujiyama,needs_review
osm-node-6361446470-funky-munky-ice-cream-hut,Funky Munky Ice Cream Hut,Dartmouth,,,,,,,,,,Funky Munky Ice Cream Hut restaurant photo,,owner_submission,owner_attestation,,Funky Munky Ice Cream Hut,needs_review
osm-node-7082566318-g-street-pizza,G-Street Pizza,North End,,,,,,,https://gstreetpizza.ca,,,G-Street Pizza restaurant photo,,owner_submission,owner_attestation,,G-Street Pizza,needs_review
osm-node-8064219419-gangnam,Gangnam,South End,,,,,,,,,,Gangnam restaurant photo,,owner_submission,owner_attestation,,Gangnam,needs_review
osm-way-88879257-garrison-brewery,Garrison Brewery,South End,,,,,,,,,,Garrison Brewery restaurant photo,,owner_submission,owner_attestation,,Garrison Brewery,needs_review
osm-node-5150250521-george-s-bubble-tea,George's Bubble Tea,South End,,,,,,,,,,George's Bubble Tea restaurant photo,,owner_submission,owner_attestation,,George's Bubble Tea,needs_review
osm-node-434192450-golda-s-cafe,Golda's Cafe,Armdale / Fairview,,,,,,,,,,Golda's Cafe restaurant photo,,owner_submission,owner_attestation,,Golda's Cafe,needs_review
osm-node-13269385544-good-robot,Good Robot,Downtown,,,,,,,,,,Good Robot restaurant photo,,owner_submission,owner_attestation,,Good Robot,needs_review
osm-node-4422097393-grawood,Grawood,South End,,,,,,,,,,Grawood restaurant photo,,owner_submission,owner_attestation,,Grawood,needs_review
osm-node-3790842257-gus-pub,Gus' Pub,North End,,,,,,,,,,Gus' Pub restaurant photo,,owner_submission,owner_attestation,,Gus' Pub,needs_review
osm-node-5139643221-habanero-s-modern-taco-bar,Habanero’s Modern Taco Bar,Downtown,,,,,,,,,,Habanero’s Modern Taco Bar restaurant photo,,owner_submission,owner_attestation,,Habanero’s Modern Taco Bar,needs_review
osm-node-4991198787-habernaro-s,Habernaro's,Dartmouth,,,,,,,,,,Habernaro's restaurant photo,,owner_submission,owner_attestation,,Habernaro's,needs_review
osm-node-5150265222-halal-basha-restaurant,Halal Basha Restaurant,South End,,,,,,,,,,Halal Basha Restaurant restaurant photo,,owner_submission,owner_attestation,,Halal Basha Restaurant,needs_review
osm-node-2405080737-halifax-citadel-coffee-bar,Halifax Citadel Coffee Bar,Downtown,,,,,,,,,,Halifax Citadel Coffee Bar restaurant photo,,owner_submission,owner_attestation,,Halifax Citadel Coffee Bar,needs_review
